Línea 40: IDENTIFICADOR -> i32
Línea 40: BIT_O -> |
Línea 40: FLECHA -> ->
Línea 40: IDENTIFICADOR -> i32
Línea 40: LLAVE_IZQ -> {
Línea 40: IDENTIFICADOR -> a
Línea 40: SUMA -> +
Línea 40: IDENTIFICADOR -> b
Línea 40: LLAVE_DER -> }
Línea 40: PUNTOCOMA -> ;
Línea 42: PRINTLN -> println
Línea 42: NO -> !
Línea 42: PAREN_IZQ -> (
Línea 42: CADENA -> "{}"
Línea 42: COMA -> ,
Línea 42: IDENTIFICADOR -> longitud
Línea 42: PAREN_DER -> )
Línea 42: PUNTOCOMA -> ;
Línea 43: LLAVE_DER -> }
